Llopiz_preytypes,preytype_validated,resolved_names,resolved_id_fromgnr,data_source,taxon_level_fromid,taxon_name_fromid,taxon_bins,name_match
Tortanus,Tortanus,Tortanus,86099,ITIS,Genus,Tortanus,Other Calanoids,TRUE
Euphausid,Euphausia,Euphausia,95501,ITIS,Genus,Euphausia,Krill,TRUE
Polycheate,Polychaeta,Polychaeta,64358,ITIS,Class,Polychaeta,Other,TRUE
Parasitic Worm,Parasite,NA,NA,OCB,NA,NA,Parasite,FALSE
F Ish Remains,Fish Remains,NA,NA,OCB,NA,NA,Fish Remains,FALSE
Amphipod,Amphipoda,Amphipoda,93294,ITIS,Order,Amphipoda,Amphipod,TRUE
Limacina,Limacina,Limacina,76336,ITIS,Genus,Limacina,Other,TRUE
Parasiteworm,Parasite,NA,NA,OCB,NA,NA,Parasite,FALSE
Microsetella,Microsetella,Microsetella,86208,ITIS,Genus,Microsetella,Other,TRUE
Clione,Clione,Clione,78088,ITIS,Genus,Clione,Other,TRUE
Calanus C9,Calanus C9,Calanus,85263,ITIS,Genus,Calanus,Calanus,TRUE
Calanus C10,Calanus C10,Calanus,85263,ITIS,Genus,Calanus,Calanus,TRUE
Calanus C11,Calanus C11,Calanus,85263,ITIS,Genus,Calanus,Calanus,TRUE
Calanus C12,Calanus C12,Calanus,85263,ITIS,Genus,Calanus,Calanus,TRUE
Calanus C13,Calanus C13,Calanus,85263,ITIS,Genus,Calanus,Calanus,TRUE
Calanus C14,Calanus C14,Calanus,85263,ITIS,Genus,Calanus,Calanus,TRUE
NA,NA,NA,NA,OCB,NA,NA,NA,FALSE
