"cruise","station","cruise_station","decimalLatitude","decimalLongitude","decimalLongitude_flag","time_UTC","time_local","date","region","average_depth","FishNum","forkLength","abbrevName_fish","uniqueIdentifierFish","scientificName_fish","scientificNameID_fish","vernacularName","preyTaxon","scientificName_preyTaxon","scientificNameID_preyTaxon","preyCount"
201402,64,"201402-64",41.2053166666667,-71.2291983333333,1,04:06:09,"23:06:00",2014-04-11,"SNE",48,237,133,"C. harengus","201402_64_237_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,770
201402,64,"201402-64",41.2053166666667,-71.2291983333333,1,04:06:09,"23:06:00",2014-04-11,"SNE",48,238,140,"C. harengus","201402_64_238_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,460
201402,192,"201402-192",41.7286516666667,-68.3617583333333,1,13:49:42,"08:49:00",2014-05-07,"GB",86,271,214,"C. harengus","201402_192_271_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,1
201402,57,"201402-57",38.587985,-74.2898816666667,1,01:05:40,"20:05:00",2014-04-03,"MAB",45,375,204,"C. harengus","201402_57_375_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,1730
201402,57,"201402-57",38.587985,-74.2898816666667,1,01:05:40,"20:05:00",2014-04-03,"MAB",45,376,202,"C. harengus","201402_57_376_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,3500
201402,58,"201402-58",38.8625,-74.4579366666667,1,03:42:51,"22:42:00",2014-04-03,"MAB",25,378,224,"C. harengus","201402_58_378_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,1740
201402,58,"201402-58",38.8625,-74.4579366666667,1,03:42:51,"22:42:00",2014-04-03,"MAB",25,379,208,"C. harengus","201402_58_379_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,880
201402,45,"201402-45",38.1196666666667,-74.5233333333333,1,19:31:04,"14:31:00",2014-04-01,"MAB",41,423,217,"C. harengus","201402_45_423_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,470
201402,45,"201402-45",38.1196666666667,-74.5233333333333,1,19:31:04,"14:31:00",2014-04-01,"MAB",41,424,234,"C. harengus","201402_45_424_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,190
201402,65,"201402-65",40.9041666666667,-71.2958333333333,1,06:55:08,"01:55:00",2014-04-11,"SNE",57,434,151,"C. harengus","201402_65_434_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,70
201402,97,"201402-97",39.0315316666667,-73.2371583333333,1,14:30:59,"09:30:00",2014-04-14,"MAB",70,168,280,"S. scombrus","201402_97_168_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,1680
201402,97,"201402-97",39.0315316666667,-73.2371583333333,1,14:30:59,"09:30:00",2014-04-14,"MAB",70,169,288,"S. scombrus","201402_97_169_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,45
