"Cruise","Station","StationID","Latitude","Longitude","FishNum","Time","Station_Depth","Region","FL_mm","Species","preyTaxon","preyCount","uniqueIdentifierFish","GMT_TIME","DECDEG_BEGLAT","DECDEG_BEGLON","AVGDEPTH","date","time_local","preytype_stnd","resolved_names","resolved_id_fromgnr","scientificName_fish","scientificNameID_fish","vernacularName","lon_match","lat_match","depth_match","decimalLongitude_flag"
201504,153,"201504-153",39.8483333333333,-72.045,707,1951,55.8,"SNE",140,"P. triacanthus","Calanoida",1,"201504_153_707_P_triacanthus",00:51:30,39.848868,-72.045248,"102",2015-09-15,"19:51:00","Calanoida","Calanoida",85258,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,153,"201504-153",39.8483333333333,-72.045,708,1951,55.8,"SNE",50,"P. triacanthus","Calanoida",1,"201504_153_708_P_triacanthus",00:51:30,39.848868,-72.045248,"102",2015-09-15,"19:51:00","Calanoida","Calanoida",85258,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,293,"201504-293",41.9183333333333,-68.1433333333333,619,145,108.3,"GB",262,"C. harengus","Candacia spp.",1,"201504_293_619_C_harengus",06:45:46,41.918322,-68.144055,"198",2015-10-13,"01:45:00","Candacia spp.","Candacia",86020,"Clupea harengus",161722,"Atlantic herring","TRUE","TRUE","FALSE",1
201504,411,"201504-411",43.845,-68.5816666666667,627,1831,58.2,"GoM",178,"S. scombrus","Candacia spp.",4,"201504_411_627_S_scombrus",23:31:27,43.844373,-68.58236,"106",2015-11-02,"18:31:00","Candacia spp.","Candacia",86020,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,411,"201504-411",43.845,-68.5816666666667,628,1831,58.2,"GoM",179,"S. scombrus","Candacia spp.",1,"201504_411_628_S_scombrus",23:31:27,43.844373,-68.58236,"106",2015-11-02,"18:31:00","Candacia spp.","Candacia",86020,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,171,"201504-171",40.53,-70.4,641,1732,35.8,"SNE",157,"A. pseudoharengus","Candacia spp.",70,"201504_171_641_A_pseudoharengus",22:32:07,40.5292,-70.400565,"65",2015-09-16,"17:32:00","Candacia spp.","Candacia",86020,"Alosa pseudoharengus",161706,"Alewife","TRUE","TRUE","FALSE",1
201504,154,"201504-154",39.8833333333333,-71.8,697,2201,88.3,"SNE",171,"P. triacanthus","Candacia spp.",3,"201504_154_697_P_triacanthus",03:01:31,39.882947,-71.800083,"160",2015-09-15,"22:01:00","Candacia spp.","Candacia",86020,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,154,"201504-154",39.8833333333333,-71.8,698,2201,88.3,"SNE",135,"P. triacanthus","Candacia spp.",3,"201504_154_698_P_triacanthus",03:01:31,39.882947,-71.800083,"160",2015-09-15,"22:01:00","Candacia spp.","Candacia",86020,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,154,"201504-154",39.8833333333333,-71.8,699,2201,88.3,"SNE",136,"P. triacanthus","Candacia spp.",3,"201504_154_699_P_triacanthus",03:01:31,39.882947,-71.800083,"160",2015-09-15,"22:01:00","Candacia spp.","Candacia",86020,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,51,"201504-51",36.3916666666667,-74.85,702,2128,38.5,"MAB",187,"P. triacanthus","Candacia spp.",1,"201504_51_702_P_triacanthus",02:28:31,36.392453,-74.850483,"70",2015-09-05,"21:28:00","Candacia spp.","Candacia",86020,"Peprilus triacanthus",172567,"Atlantic butterfish","FALSE","TRUE","FALSE",3
201504,153,"201504-153",39.8483333333333,-72.045,707,1951,55.8,"SNE",140,"P. triacanthus","Candacia spp.",2,"201504_153_707_P_triacanthus",00:51:30,39.848868,-72.045248,"102",2015-09-15,"19:51:00","Candacia spp.","Candacia",86020,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,153,"201504-153",39.8483333333333,-72.045,708,1951,55.8,"SNE",50,"P. triacanthus","Candacia spp.",3,"201504_153_708_P_triacanthus",00:51:30,39.848868,-72.045248,"102",2015-09-15,"19:51:00","Candacia spp.","Candacia",86020,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,333,"201504-333",43.7,-66.9866666666667,683,2253,86.9,"GoM",133,"A. pseudoharengus","Hyperiidea",1,"201504_333_683_A_pseudoharengus",03:53:47,43.70071,-66.986778,"157",2015-10-18,"22:53:00","Hyperiidea","Hyperiidea",95107,"Alosa pseudoharengus",161706,"Alewife","TRUE","TRUE","FALSE",1
201504,333,"201504-333",43.7,-66.9866666666667,684,2253,86.9,"GoM",141,"A. pseudoharengus","Hyperiidea",3,"201504_333_684_A_pseudoharengus",03:53:47,43.70071,-66.986778,"157",2015-10-18,"22:53:00","Hyperiidea","Hyperiidea",95107,"Alosa pseudoharengus",161706,"Alewife","TRUE","TRUE","FALSE",1
201504,154,"201504-154",39.8833333333333,-71.8,698,2201,88.3,"SNE",135,"P. triacanthus","Hyperiidea",3,"201504_154_698_P_triacanthus",03:01:31,39.882947,-71.800083,"160",2015-09-15,"22:01:00","Hyperiidea","Hyperiidea",95107,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,154,"201504-154",39.8833333333333,-71.8,699,2201,88.3,"SNE",136,"P. triacanthus","Hyperiidea",5,"201504_154_699_P_triacanthus",03:01:31,39.882947,-71.800083,"160",2015-09-15,"22:01:00","Hyperiidea","Hyperiidea",95107,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,153,"201504-153",39.8483333333333,-72.045,708,1951,55.8,"SNE",50,"P. triacanthus","Hyperiidea",3,"201504_153_708_P_triacanthus",00:51:30,39.848868,-72.045248,"102",2015-09-15,"19:51:00","Hyperiidea","Hyperiidea",95107,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,153,"201504-153",39.8483333333333,-72.045,709,1951,55.8,"SNE",108,"P. triacanthus","Hyperiidea",3,"201504_153_709_P_triacanthus",00:51:30,39.848868,-72.045248,"102",2015-09-15,"19:51:00","Hyperiidea","Hyperiidea",95107,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,293,"201504-293",41.9183333333333,-68.1433333333333,621,145,108.3,"GB",253,"C. harengus","Hyperia spp.",1,"201504_293_621_C_harengus",06:45:46,41.918322,-68.144055,"198",2015-10-13,"01:45:00","Hyperia spp.","Hyperia",95109,"Clupea harengus",161722,"Atlantic herring","TRUE","TRUE","FALSE",1
201504,411,"201504-411",43.845,-68.5816666666667,627,1831,58.2,"GoM",178,"S. scombrus","Hyperia spp.",8,"201504_411_627_S_scombrus",23:31:27,43.844373,-68.58236,"106",2015-11-02,"18:31:00","Hyperia spp.","Hyperia",95109,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,411,"201504-411",43.845,-68.5816666666667,628,1831,58.2,"GoM",179,"S. scombrus","Hyperia spp.",1,"201504_411_628_S_scombrus",23:31:27,43.844373,-68.58236,"106",2015-11-02,"18:31:00","Hyperia spp.","Hyperia",95109,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,232,"201504-232",41.0283333333333,-68.7,636,1912,36.4,"GoM",131,"P. triacanthus","Hyperia spp.",31,"201504_232_636_P_triacanthus",00:12:48,41.02813,-68.699883,"67",2015-09-29,"19:12:00","Hyperia spp.","Hyperia",95109,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
