"Cruise","Station","StationID","Latitude","Longitude","FishNum","Time","Station_Depth","Region","FL_mm","Species","preyTaxon","preyCount","uniqueIdentifierFish","GMT_TIME","DECDEG_BEGLAT","DECDEG_BEGLON","AVGDEPTH","date","time_local","preytype_stnd","resolved_names","resolved_id_fromgnr","scientificName_fish","scientificNameID_fish","vernacularName","lon_match","lat_match","depth_match"
201402,296,"201402-296",42.1712566666667,-69.7166666666667,284,1004,192,"GoM",222,"A. aestivalis","Limacina helicina",1,"201402_296_284_A_aestivalis",15:04:40,42.171257,-68.309485,"192",2014-05-19,"10:04:00","Limacina helicina","Limacina helicina",76340,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,95,"201402-95",39.4519933333333,-69.6166666666667,335,500,67,"SNE",220,"A. aestivalis","Limacina helicina",560,"201402_95_335_A_aestivalis",10:00:39,39.451993,-72.977242,"67",2014-04-14,"05:00:00","Limacina helicina","Limacina helicina",76340,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,273,"201402-273",44.2928666666667,-69.3833333333333,264,3,180,"GoM",170,"A. aestivalis","Euphausiacea",1,"201402_273_264_A_aestivalis",05:03:19,44.292867,-67.235202,"180",2014-05-16,"00:03:00","Euphausiacea","Euphausiacea",95496,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,289,"201402-289",43.1084516666667,-69.7166666666667,283,1230,197,"GoM",211,"A. aestivalis","Euphausiacea",2,"201402_289_283_A_aestivalis",17:30:16,43.108452,-67.889833,"197",2014-05-18,"12:30:00","Euphausiacea","Euphausiacea",95496,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,296,"201402-296",42.1712566666667,-69.7166666666667,284,1004,192,"GoM",222,"A. aestivalis","Euphausiacea",4,"201402_296_284_A_aestivalis",15:04:40,42.171257,-68.309485,"192",2014-05-19,"10:04:00","Euphausiacea","Euphausiacea",95496,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,296,"201402-296",42.1712566666667,-71.1333333333333,286,1004,192,"GoM",214,"A. aestivalis","Euphausiacea",1,"201402_296_286_A_aestivalis",15:04:40,42.171257,-68.309485,"192",2014-05-19,"10:04:00","Euphausiacea","Euphausiacea",95496,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,296,"201402-296",42.1712566666667,-69.7166666666667,284,1004,192,"GoM",222,"A. aestivalis","Euphausia spp.",4,"201402_296_284_A_aestivalis",15:04:40,42.171257,-68.309485,"192",2014-05-19,"10:04:00","Euphausia spp.","Euphausia",95501,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,296,"201402-296",42.1712566666667,-69.7166666666667,284,1004,192,"GoM",222,"A. aestivalis","Meganyctiphanes norvegica",16,"201402_296_284_A_aestivalis",15:04:40,42.171257,-68.309485,"192",2014-05-19,"10:04:00","Meganyctiphanes norvegica","Meganyctiphanes norvegica",95534,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,289,"201402-289",43.1084516666667,-69.7166666666667,283,1230,197,"GoM",211,"A. aestivalis","Thysanopoda spp.",1,"201402_289_283_A_aestivalis",17:30:16,43.108452,-67.889833,"197",2014-05-18,"12:30:00","Thysanopoda spp.","Thysanopoda",95582,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,296,"201402-296",42.1712566666667,-69.7166666666667,284,1004,192,"GoM",222,"A. aestivalis","Gammarus spp.",3,"201402_296_284_A_aestivalis",15:04:40,42.171257,-68.309485,"192",2014-05-19,"10:04:00","Gammarus spp.","Gammarus",93773,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,187,"201402-187",41.7117683333333,-69.2333333333333,183,705,81,"GoM",170,"A. aestivalis","Ostracoda",2,"201402_187_183_A_aestivalis",12:05:09,41.711768,-69.735145,"81",2014-04-24,"07:05:00","Ostracoda","Ostracoda",84195,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,95,"201402-95",39.4519933333333,-69.6166666666667,335,500,67,"SNE",220,"A. aestivalis","Crustacean_Larvae",5,"201402_95_335_A_aestivalis",10:00:39,39.451993,-72.977242,"67",2014-04-14,"05:00:00","Crustacean_ Larvae","Crustacea",83677,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,187,"201402-187",41.7117683333333,-69.2333333333333,183,705,81,"GoM",170,"A. aestivalis","Unknown",1,"201402_187_183_A_aestivalis",12:05:09,41.711768,-69.735145,"81",2014-04-24,"07:05:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,187,"201402-187",41.7117683333333,-69.2333333333333,184,705,81,"GoM",175,"A. aestivalis","Unknown",1,"201402_187_184_A_aestivalis",12:05:09,41.711768,-69.735145,"81",2014-04-24,"07:05:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,282,"201402-282",44.0888283333333,-69.0033333333333,205,1318,101,"GoM",160,"A. aestivalis","Unknown",1,"201402_282_205_A_aestivalis",18:18:52,44.088828,-68.100295,"101",2014-05-17,"13:18:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,276,"201402-276",44.2513783333333,-69.0033333333333,258,1703,70,"GoM",132,"A. aestivalis","Unknown",1,"201402_276_258_A_aestivalis",22:03:14,44.251378,-67.914183,"70",2014-05-16,"17:03:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,276,"201402-276",44.2513783333333,-69.3833333333333,259,1703,70,"GoM",127,"A. aestivalis","Unknown",1,"201402_276_259_A_aestivalis",22:03:14,44.251378,-67.914183,"70",2014-05-16,"17:03:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,274,"201402-274",44.3150183333333,-69.55,274,203,164,"GoM",155,"A. aestivalis","Unknown",1,"201402_274_274_A_aestivalis",07:03:34,44.315018,-67.283932,"164",2014-05-16,"02:03:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,356,"201402-356",41.576,-68.3,278,1055,54,"GoM",207,"A. aestivalis","Unknown",1,"201402_356_278_A_aestivalis",15:55:24,41.576,-69.586167,"54",2014-05-31,"10:55:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,356,"201402-356",41.576,-66.4666666666667,280,1055,54,"GoM",207,"A. aestivalis","Unknown",1,"201402_356_280_A_aestivalis",15:55:24,41.576,-69.586167,"54",2014-05-31,"10:55:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,289,"201402-289",43.1084516666667,-66.4666666666667,282,1230,197,"GoM",216,"A. aestivalis","Unknown",1,"201402_289_282_A_aestivalis",17:30:16,43.108452,-67.889833,"197",2014-05-18,"12:30:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,289,"201402-289",43.1084516666667,-69.7166666666667,283,1230,197,"GoM",211,"A. aestivalis","Unknown",2,"201402_289_283_A_aestivalis",17:30:16,43.108452,-67.889833,"197",2014-05-18,"12:30:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,296,"201402-296",42.1712566666667,-71.1333333333333,286,1004,192,"GoM",214,"A. aestivalis","Unknown",1,"201402_296_286_A_aestivalis",15:04:40,42.171257,-68.309485,"192",2014-05-19,"10:04:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,282,"201402-282",44.0888283333333,-71.1333333333333,329,1318,101,"GoM",115,"A. aestivalis","Unknown",1,"201402_282_329_A_aestivalis",18:18:52,44.088828,-68.100295,"101",2014-05-17,"13:18:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,282,"201402-282",44.0888283333333,-71.1333333333333,330,1318,101,"GoM",142,"A. aestivalis","Unknown",1,"201402_282_330_A_aestivalis",18:18:52,44.088828,-68.100295,"101",2014-05-17,"13:18:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,95,"201402-95",39.4519933333333,-69.6166666666667,335,500,67,"SNE",220,"A. aestivalis","Unknown",6,"201402_95_335_A_aestivalis",10:00:39,39.451993,-72.977242,"67",2014-04-14,"05:00:00","Unknown",NA,NA,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201504,51,"201504-51",36.3916666666667,-74.85,701,2128,38.5,"MAB",210,"P. triacanthus","Unknown",1,"201504_51_701_P_triacanthus",02:28:31,36.392453,-74.850483,"70",2015-09-05,"21:28:00","Unknown",NA,NA,"Peprilus triacanthus",172567,"Atlantic butterfish",FALSE,TRUE,FALSE
201504,51,"201504-51",36.3916666666667,-74.85,702,2128,38.5,"MAB",187,"P. triacanthus","Unknown",1,"201504_51_702_P_triacanthus",02:28:31,36.392453,-74.850483,"70",2015-09-05,"21:28:00","Unknown",NA,NA,"Peprilus triacanthus",172567,"Atlantic butterfish",FALSE,TRUE,FALSE
201504,51,"201504-51",36.3916666666667,-74.85,703,2128,38.5,"MAB",84,"P. triacanthus","Unknown",1,"201504_51_703_P_triacanthus",02:28:31,36.392453,-74.850483,"70",2015-09-05,"21:28:00","Unknown",NA,NA,"Peprilus triacanthus",172567,"Atlantic butterfish",FALSE,TRUE,FALSE
