"cruise","station","decimalLatitude","decimalLongitude","time_UTC","date","average_depth","Fish_Num","abbrevName_fish","uniqueIdentifierFish","scientificName_fish","scientificNameID_fish","vernacularName","d13C","d15N","C_to_N","d13C_corr"
201302,69,37.05521,-75.379185,21:55:00,2013-03-21,"29",45,"S. scombrus","201302_69_45_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.4551464416836,12.1924138278374,3.30922235544869,-18.9514115434942
201302,206,41.131313,-69.289582,06:30:11,2013-04-10,"52",46,"C. harengus","201302_206_46_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.0452892225198,12.1224933764309,3.31353411152145,-17.5358237674989
201302,206,41.131313,-69.289582,06:30:11,2013-04-10,"52",47,"C. harengus","201302_206_47_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.4365071551247,11.9021462511255,3.17029496238184,-18.121524951319
201302,70,37.254212,-75.072288,00:46:23,2013-03-22,"36",53,"C. harengus","201302_70_53_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.3457250537387,12.0029837232291,3.22204358428098,-17.9594854662166
201302,70,37.254212,-75.072288,00:46:23,2013-03-22,"36",54,"C. harengus","201302_70_54_C_harengus","Clupea harengus",161722,"Atlantic herring",-17.9864051448483,12.5319575553023,3.23968790553863,-17.5761308691088
201302,209,41.260358,-69.023085,15:15:21,2013-04-10,"151",56,"S. scombrus","201302_209_56_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-18.8278490757529,12.1253492376374,3.26845407434317,-18.3786694615141
201302,209,41.260358,-69.023085,15:15:21,2013-04-10,"151",60,"S. scombrus","201302_209_60_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.01000706508,11.8463879404166,3.23188041309502,-18.6103517890088
201302,75,37.667023,-75.167933,10:45:05,2013-03-22,"25",61,"S. scombrus","201302_75_61_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.2934889948705,12.2962446420572,3.24106297661478,-18.8813471306348
201302,75,37.667023,-75.167933,10:45:05,2013-03-22,"25",62,"S. scombrus","201302_75_62_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-18.263837039996,13.8246925715229,4.57083900154455,-16.3386515243524
201302,130,39.698105,-72.019515,12:40:43,2013-03-28,"159",64,"P. triacanthus","201302_130_64_P_triacanthus","Peprilus triacanthus",172567,"Atlantic butterfish",-17.7626771080739,15.1231084401458,3.29545560177373,-17.2772890758666
201302,130,39.698105,-72.019515,12:40:43,2013-03-28,"159",67,"P. triacanthus","201302_130_67_P_triacanthus","Peprilus triacanthus",172567,"Atlantic butterfish",-17.9484065582886,15.315511108736,3.2249950353804,-17.5581374192274
201302,211,41.454278,-69.28315,21:00:33,2013-04-10,"94",69,"C. harengus","201302_211_69_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.1807461216898,10.3428827424595,3.26842471582748,-17.7316060391087
201302,211,41.454278,-69.28315,21:00:33,2013-04-10,"94",70,"C. harengus","201302_211_70_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.2817687384327,11.2071965080796,3.22785875029192,-17.8875933555385
201302,122,39.645712,-73.172307,18:05:52,2013-03-27,"43",72,"C. harengus","201302_122_72_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.640909250418,12.558943550811,3.2834875770766,-18.1715333141847
201302,122,39.645712,-73.172307,18:05:52,2013-03-27,"43",74,"C. harengus","201302_122_74_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.6848845927318,11.5973581892228,3.34898043785861,-18.128589745312
201302,208,41.096055,-68.971155,12:15:47,2013-04-10,"91",76,"C. harengus","201302_208_76_C_harengus","Clupea harengus",161722,"Atlantic herring",-17.9825467742238,10.3997919004473,3.2446653722062,-17.5655159773115
201302,208,41.096055,-68.971155,12:15:47,2013-04-10,"91",77,"C. harengus","201302_208_77_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.4659587731859,10.587696028039,3.40793807038628,-17.8328599430944
201302,211,41.454278,-69.28315,21:00:33,2013-04-10,"94",79,"C. harengus","201302_211_79_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.289519444275,11.6903990358024,3.25798368002555,-17.854460931519
201302,211,41.454278,-69.28315,21:00:33,2013-04-10,"94",80,"C. harengus","201302_211_80_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.0926041238095,11.8065768750427,3.23963427337087,-17.6824027060522
201302,125,39.626003,-72.764592,00:10:13,2013-03-28,"69",82,"C. harengus","201302_125_82_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.1680124262586,12.1124061258017,3.17134295345155,-17.8515756427999
201302,125,39.626003,-72.764592,00:10:13,2013-03-28,"69",83,"C. harengus","201302_125_83_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.5173076351833,12.0662200205734,3.17087862822056,-18.2015152616742
201302,121,39.671243,-73.291458,16:12:43,2013-03-27,"42",86,"C. harengus","201302_121_86_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.9750699372078,10.9764202190732,3.23504166205802,-18.5711119472234
201302,121,39.671243,-73.291458,16:12:43,2013-03-27,"42",87,"C. harengus","201302_121_87_C_harengus","Clupea harengus",161722,"Atlantic herring",-17.8667439791807,11.8003836610477,3.2101221539821,-17.4968181114713
201302,221,41.83271,-69.338313,00:40:29,2013-04-12,"188",88,"C. harengus","201302_221_88_C_harengus","Clupea harengus",161722,"Atlantic herring",-19.2489565427515,11.1099009601229,3.25665367240353,-18.8156950183186
201302,221,41.83271,-69.338313,00:40:29,2013-04-12,"188",89,"C. harengus","201302_221_89_C_harengus","Clupea harengus",161722,"Atlantic herring",-17.7533175544097,10.4572955117586,3.35220626291394,-17.1927855896556
201302,220,41.923018,-69.326913,22:31:35,2013-04-11,"198",91,"C. harengus","201302_220_91_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.5111886679293,11.5223502318011,3.24202590573727,-18.0977394481487
201302,220,41.923018,-69.326913,22:31:35,2013-04-11,"198",92,"C. harengus","201302_220_92_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.6141916717037,11.0286893529188,3.30070573070627,-18.1217978004496
201302,122,39.645712,-73.172307,18:05:52,2013-03-27,"43",93,"S. scombrus","201302_122_93_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-18.4246091855023,11.5491645599862,3.23083838417593,-18.0263731168751
201302,158,40.239365,-71.805162,20:19:08,2013-03-30,"76",94,"S. scombrus","201302_158_94_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.6959740515152,13.1964858058642,3.32590240347021,-19.170111748446
201302,158,40.239365,-71.805162,20:19:08,2013-03-30,"76",95,"S. scombrus","201302_158_95_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.8356646439923,12.3955898492572,3.27289259097182,-19.3805125853379
201302,226,41.543132,-68.658875,12:29:48,2013-04-12,"135",97,"S. scombrus","201302_226_97_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.2447382469586,12.695867809963,3.22097276073567,-18.8599615439657
201302,226,41.543132,-68.658875,12:29:48,2013-04-12,"135",98,"S. scombrus","201302_226_98_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.9182223565885,12.0078027888963,3.26386804969133,-19.475222198116
201302,315,43.662838,-67.043225,03:08:07,2013-04-23,"151",99,"S. scombrus","201302_315_99_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-20.3693400846942,12.5001720198284,3.2730895715775,-19.9139231577208
201302,315,43.662838,-67.043225,03:08:07,2013-04-23,"151",100,"S. scombrus","201302_315_100_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.8881546571729,11.8673385784923,3.25605923699833,-19.4556965184449
